litv影視,#genre#
96一字千金(6~8季),https://www.litv.tv/channel/watch/litv-vchannel96
97一字千金(1~5季),https://www.litv.tv/channel/watch/litv-vchannel97
98我們這一家,https://www.litv.tv/channel/watch/litv-vchannel98
99銀髮聚樂部,https://www.litv.tv/channel/watch/litv-vchannel99
100蠟筆小新台,https://www.litv.tv/channel/watch/litv-vchannel100
101南風知我意,https://www.litv.tv/channel/watch/litv-vchannel101
102豬哥亮歌廳秀,https://www.litv.tv/channel/watch/4gtv-4gtv006
103我們的翻譯官,https://www.litv.tv/channel/watch/litv-vchannel103
104青囊傳,https://www.litv.tv/channel/watch/litv-vchannel104
105流光之下,https://www.litv.tv/channel/watch/litv-vchannel105
106愛的厘米,https://www.litv.tv/channel/watch/litv-vchannel106
107粉紅色口紅,https://www.litv.tv/channel/watch/litv-vchannel107
10819層,https://www.litv.tv/channel/watch/litv-vchannel108
109金庸武俠台,https://www.litv.tv/channel/watch/litv-vchannel109
110倚天屠龍記2019,https://www.litv.tv/channel/watch/litv-vchannel110
111紳士與小姐(國語配音),https://www.litv.tv/channel/watch/litv-vchannel111
112對你不止是喜歡,https://www.litv.tv/channel/watch/litv-vchannel112
113做自己的光,https://www.litv.tv/channel/watch/litv-vchannel113
114村裡來了個暴走女外科,https://www.litv.tv/channel/watch/litv-vchannel114
115秘密的男人(國語配音),https://www.litv.tv/channel/watch/litv-vchannel115
117愛情來了(國語配音),https://www.litv.tv/channel/watch/litv-vchannel117
118媽媽要出嫁(國語配音),https://www.litv.tv/channel/watch/litv-vchannel118
119白夜童話(國語配音),https://www.litv.tv/channel/watch/litv-vchannel119
120善德女王(國語配音),https://www.litv.tv/channel/watch/litv-vchannel120
121天才衝衝衝,https://www.litv.tv/channel/watch/litv-vchannel121
123食尚玩家-魚肉鄉民,https://www.litv.tv/channel/watch/litv-vchannel123
124溢遊未盡,https://www.litv.tv/channel/watch/litv-vchannel124
125看板人物,https://www.litv.tv/channel/watch/litv-vchannel125
126食尚玩家-就要醬玩,https://www.litv.tv/channel/watch/litv-vchannel126
127威廉沈歡樂送,https://www.litv.tv/channel/watch/litv-vchannel127
128一步一腳印 發現新台灣,https://www.litv.tv/channel/watch/litv-vchannel128
129食尚玩家-2天1夜go,https://www.litv.tv/channel/watch/litv-vchannel129
130文茜的世界周報,https://www.litv.tv/channel/watch/litv-vchannel130
131文茜的世界財經周報,https://www.litv.tv/channel/watch/litv-vchannel131
132寰宇全視界,https://www.litv.tv/channel/watch/litv-vchannel132
133頭條開講,https://www.litv.tv/channel/watch/litv-vchannel133
134大新聞大爆卦,https://www.litv.tv/channel/watch/litv-vchannel134
135新聞大白話,https://www.litv.tv/channel/watch/litv-vchannel135
136國民大會,https://www.litv.tv/channel/watch/litv-vchannel136
137少康戰情室,https://www.litv.tv/channel/watch/litv-vchannel137
138台灣戲劇台,https://www.litv.tv/channel/watch/litv-vchannel137
