臺灣 Taiwan,#genre#
龍華偶像,https://haoyunlai.serv00.net/Smartv-1.php?id=lunghuaidol_twn
龍華戲劇,https://haoyunlai.serv00.net/Smartv-1.php?id=lunghuaxiju_twn
龍華洋片,https://haoyunlai.serv00.net/Smartv-1.php?id=lunghuawestern_twn
龍華經典,https://haoyunlai.serv00.net/Smartv-1.php?id=lunghuajingdian_twn
龍華電影,https://haoyunlai.serv00.net/Smartv-1.php?id=xingwei_movie
馬來西亞 Malaysia,#genre#
TV1,https://haoyunlai.serv00.net/Smartv-1.php?id=TV1
TV1(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=TV1_backup
TV2,https://haoyunlai.serv00.net/Smartv-1.php?id=TV2
TV3,https://haoyunlai.serv00.net/Smartv-1.php?id=TV3
TV3(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=tv3_twn
NTV7,https://haoyunlai.serv00.net/Smartv-1.php?id=NTV7
TV8,https://haoyunlai.serv00.net/Smartv-1.php?id=TV8
TV9,https://haoyunlai.serv00.net/Smartv-1.php?id=TV9
Warna,https://haoyunlai.serv00.net/Smartv-1.php?id=Warna-O
Warna(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=Warna
Ria,https://haoyunlai.serv00.net/Smartv-1.php?id=Ria-0
Ria(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=Ria49
Ria-3,https://haoyunlai.serv00.net/Smartv-1.php?id=Ria_quanjia
Al-Hijrah,https://haoyunlai.serv00.net/Smartv-1.php?id=Alhijrah
Al-Hijrah(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=Alhijrah_backup
Awani,https://haoyunlai.serv00.net/Smartv-1.php?id=Awani
Bernama,https://haoyunlai.serv00.net/Smartv-1.php?id=Bernama
Prima,https://haoyunlai.serv00.net/Smartv-1.php?id=Prima-0
Prima(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=Prima49
Ceria,https://haoyunlai.serv00.net/Smartv-1.php?id=Ceria
Astro MTV,https://haoyunlai.serv00.net/Smartv-1.php?id=AstroMTV
Mecca Live HD,https://haoyunlai.serv00.net/Smartv-1.php?id=quran_mido
Madinah HD,https://haoyunlai.serv00.net/Smartv-1.php?id=sunnah_mido
Oasis,https://haoyunlai.serv00.net/Smartv-1.php?id=Oasis
HBO HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Hbo
HBO Signature,https://haoyunlai.serv00.net/Smartv-1.php?id=Hbosignature
HBO Hits,https://haoyunlai.serv00.net/Smartv-1.php?id=Hbohits
NatGeo Wild HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Natgeowild
Cartoon Network,https://haoyunlai.serv00.net/Smartv-1.php?id=Cn
Nickelodeon,https://haoyunlai.serv00.net/Smartv-1.php?id=Nickelodeon
Nick Jr,https://haoyunlai.serv00.net/Smartv-1.php?id=Nickjr
Citra,https://haoyunlai.serv00.net/Smartv-1.php?id=Citra
Sensasi,https://haoyunlai.serv00.net/Smartv-1.php?id=Sensasi
Aura,https://haoyunlai.serv00.net/Smartv-1.php?id=Aura
Rania,https://haoyunlai.serv00.net/Smartv-1.php?id=Rania
Boo,https://haoyunlai.serv00.net/Smartv-1.php?id=Boo
Awesome TV,https://haoyunlai.serv00.net/Smartv-1.php?id=Awesome_mega
Sony HD,https://haoyunlai.serv00.net/Smartv-1.php?id=SetOne
KBS World,https://haoyunlai.serv00.net/Smartv-1.php?id=KBS
TvN,https://haoyunlai.serv00.net/Smartv-1.php?id=TVN
Astro Premier,https://haoyunlai.serv00.net/Smartv-1.php?id=Astropremier
AEC,https://haoyunlai.serv00.net/Smartv-1.php?id=AEC
華麗台 HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Wlt
歡喜台 HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Huahee
歡喜台(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=Huahee_backup
Astro QJ,https://haoyunlai.serv00.net/Smartv-1.php?id=Quanjia
TVB Jade,https://haoyunlai.serv00.net/Smartv-1.php?id=Tvbjade
TVBS Asia,https://haoyunlai.serv00.net/Smartv-1.php?id=Tvbasia
TVB Entertainment,https://haoyunlai.serv00.net/Smartv-1.php?id=Tvbentertainment
TVB Classic,https://haoyunlai.serv00.net/Smartv-1.php?id=Tvbclassic
AOD,https://haoyunlai.serv00.net/Smartv-1.php?id=AodHD
One,https://haoyunlai.serv00.net/Smartv-1.php?id=One_mega
TVB 星河台,https://haoyunlai.serv00.net/Smartv-1.php?id=Xinhe
愛奇藝,https://haoyunlai.serv00.net/Smartv-1.php?id=Qiyi
Animal Planet (Eng),https://haoyunlai.serv00.net/Smartv-1.php?id=AnimalPlanet
tvN Movie,https://haoyunlai.serv00.net/Smartv-1.php?id=Tvnmovie
CNN(備用),https://haoyunlai.serv00.net/Smartv-1.php?id=cnn_twn
Celestial Classic,https://haoyunlai.serv00.net/Smartv-1.php?id=Celestial2
CNBC,https://haoyunlai.serv00.net/Smartv-1.php?id=cnbc_twn
RTM Sports HD,https://haoyunlai.serv00.net/Smartv-1.php?id=Rtmsport
TLC,https://haoyunlai.serv00.net/Smartv-1.php?id=Tlc
CNA,https://haoyunlai.serv00.net/Smartv-1.php?id=cna
